TransactionID,CustomerID,ProductID,ProductName,TransactionDate,Quantity,PricePerUnit,LocationCode,CustomerPhone
Txn1345,CUST_046a,PROD206,Antacid  Fast Acting,2024-11-05,4,24.00,LOC6,99887
Txn1346,CUST_047b,PROD207,Probiotic  Daily Dose,2024-12-10,1,28.00,LOC7,88776
Txn1347,CUST_048c,PROD208,SkinCream  Eczema Formula,2024-12-10,2,38.00,LOC8,77665
Txn1348,CUST_049a,PROD209,SleepAid  Herbal Blend,2024-12-15,3,48.00,LOC9,66554
Txn1349,CUST_050b,PROD210,VitaminD  Supplement,2024-12-15,4,19.00,LOC10,55443
Txn1350,CUST_051c,PROD201,Allergy Relief,2024-01-20,2,28.00,LOC1,44332
Txn1351,CUST_052a,PROD202,Antibiotic  Broad Spectrum,2024-01-20,1,48.00,LOC2,33221
Txn1352,CUST_053b,PROD203,Antibiotic  Broad Spectrum,2024-02-25,3,24.00,LOC3,22110
Txn1353,CUST_054c,PROD204,CoughSyrup  Night Formula,2024-02-25,2,15.00,LOC4,11009
Txn1354,CUST_055a,PROD205,Antacid  Fast Acting,2024-03-30,4,35.00,LOC5,9988
Txn1355,CUST_056b,PROD206,Antacid  Fast Acting,2024-03-30,1,23.00,LOC6,8877
Txn1356,CUST_057c,PROD207,Probiotic  Daily Dose,2024-04-05,2,26.00,LOC7,7766
Txn1357,CUST_058a,PROD208,SkinCream  Eczema Formula,2024-04-05,3,35.00,LOC8,6655
Txn1358,CUST_059b,PROD209,SleepAid  Herbal Blend,2024-05-10,1,45.00,LOC9,5544
Txn1359,CUST_060c,PROD210,VitaminD  Supplement,2024-05-10,5,16.00,LOC10,4433
Txn1360,CUST_061a,PROD201,Allergy Relief,2024-06-15,2,30.00,LOC1,3322
Txn1361,CUST_062b,PROD202,Antibiotic  Broad Spectrum,2024-06-15,3,50.00,LOC2,2211
Txn1362,CUST_063c,PROD203,Antibiotic  Broad Spectrum,2024-07-20,1,26.00,LOC3,1100
Txn1363,CUST_064a,PROD204,CoughSyrup  Night Formula,2024-07-20,2,18.00,LOC4,998
Txn1364,CUST_065b,PROD205,Antacid  Fast Acting,2024-08-25,3,37.00,LOC5,887
Txn1365,CUST_066c,PROD206,Antacid  Fast Acting,2024-08-25,4,25.00,LOC6,776
Txn1366,CUST_067a,PROD207,Probiotic  Daily Dose,2024-09-30,1,29.00,LOC7,665
Txn1367,CUST_068b,PROD208,SkinCream  Eczema Formula,2024-09-30,2,39.00,LOC8,554
Txn1368,CUST_069c,PROD209,SleepAid  Herbal Blend,2024-10-05,3,49.00,LOC9,443
Txn1369,CUST_070a,PROD210,VitaminD  Supplement,2024-10-05,4,20.00,LOC10,332
Txn1370,CUST_071b,PROD201,Allergy Relief,2024-11-10,2,31.00,LOC1,221
Txn1371,CUST_072c,PROD202,Antibiotic  Broad Spectrum,2024-11-10,1,51.00,LOC2,110
Txn1372,CUST_073a,PROD203,Antibiotic  Broad Spectrum,2024-12-15,3,27.00,LOC3,99
Txn1373,CUST_074b,PROD204,CoughSyrup  Night Formula,2024-12-15,2,19.00,LOC4,88
Txn1374,CUST_075c,PROD205,Antacid  Fast Acting,2025-01-20,4,39.00,LOC5,77
Txn1375,CUST_076a,PROD206,Antacid  Fast Acting,2025-01-20,1,27.00,LOC6,66
Txn1376,CUST_077b,PROD207,Probiotic  Daily Dose,2025-02-25,2,31.00,LOC7,55
Txn1377,CUST_078c,PROD208,SkinCream  Eczema Formula,2025-02-25,3,40.00,LOC8,44
Txn1378,CUST_079a,PROD209,SleepAid  Herbal Blend,2025-03-30,1,50.00,LOC9,33
Txn1379,CUST_080b,PROD210,VitaminD  Supplement,2025-03-30,5,21.00,LOC10,22
Txn1380,CUST_081c,PROD201,Allergy Relief,2025-04-05,2,32.00,LOC1,11
Txn1381,CUST_082a,PROD202,Antibiotic  Broad Spectrum,2025-04-05,3,52.00,LOC2,9
Txn1382,CUST_083b,PROD203,Antibiotic  Broad Spectrum,2025-05-10,1,28.00,LOC3,8
Txn1383,CUST_084c,PROD204,CoughSyrup  Night Formula,2025-05-10,2,20.00,LOC4,7
Txn1384,CUST_085a,PROD205,Antacid  Fast Acting,2025-06-15,3,39.00,LOC5,6
Txn1385,CUST_086b,PROD206,Antacid  Fast Acting,2025-06-15,4,27.00,LOC6,5
Txn1386,CUST_087c,PROD207,Probiotic  Daily Dose,2025-07-20,1,31.00,LOC7,4
Txn1387,CUST_088a,PROD208,SkinCream  Eczema Formula,2025-07-20,2,41.00,LOC8,3
Txn1388,CUST_089b,PROD209,SleepAid  Herbal Blend,2025-08-25,3,51.00,LOC9,2
Txn1389,CUST_090c,PROD210,VitaminD  Supplement,2025-08-25,4,22.00,LOC10,1
Txn1390,CUST_091a,PROD201,Allergy Relief,2025-09-30,2,33.00,LOC1,
Txn1391,CUST_092b,PROD202,Antibiotic  Broad Spectrum,2025-09-30,1,53.00,LOC2,
Txn1392,CUST_093c,PROD203,Antibiotic  Broad Spectrum,2025-10-05,3,29.00,LOC3,
Txn1393,CUST_094a,PROD204,CoughSyrup  Night Formula,2025-10-05,2,21.00,LOC4,
Txn1394,CUST_095b,PROD205,Antacid  Fast Acting,2025-11-10,4,41.00,LOC5,
Txn1395,CUST_096c,PROD206,Antacid  Fast Acting,2025-11-10,5,29.00,LOC6,
Txn1396,CUST_097a,PROD207,Probiotic  Daily Dose,2025-12-15,1,33.00,LOC7,
Txn1397,CUST_098b,PROD208,SkinCream  Eczema Formula,2025-12-15,2,43.00,LOC8,
Txn1398,CUST_099c,PROD209,SleepAid  Herbal Blend,2026-01-20,3,53.00,LOC9,
Txn1399,CUST_100a,PROD210,VitaminD  Supplement,2026-01-20,4,24.00,LOC10,
Txn1400,CUST_001a,PROD215_updated,MultiVitamin  Adult Formula,2023-01-25,1,55.00,LOC1,
Txn1401,CUST_002b,PROD215_updated,MultiVitamin  Adult Formula,2023-02-28,2,56.00,LOC2,
Txn1402,CUST_003c,PROD215_updated,MultiVitamin  Adult Formula,2023-03-05,3,57.00,LOC3,
Txn1403,CUST_004a,PROD215_updated,MultiVitamin  Adult Formula,2023-04-12,4,58.00,LOC4,
Txn1404,CUST_005b,PROD215_updated,MultiVitamin  Adult Formula,2023-05-18,5,59.00,LOC5,
Txn1405,CUST_006c,PROD215_updated,MultiVitamin  Adult Formula,2023-06-22,1,60.00,LOC6,
Txn1406,CUST_007a,PROD215_updated,MultiVitamin  Adult Formula,2023-07-29,2,61.00,LOC7,
Txn1407,CUST_008b,PROD215_updated,MultiVitamin  Adult Formula,2023-08-01,3,62.00,LOC8,
Txn1408,CUST_009c,PROD215_updated,MultiVitamin  Adult Formula,2023-09-07,4,63.00,LOC9,
Txn1409,CUST_010a,PROD215_updated,MultiVitamin  Adult Formula,2023-10-14,5,64.00,LOC10,
